ID,Name,Level,Subject,SubjID,Date,Attendance,Score
S0122,Thomas Debbie Collins,Sophomore,English,ENG101,4/6/2023,Absent,79
S0340,Eric Steven Foster,Junior,Biology,BIO101,10/10/2023,Late,87
S1183,Robert Lisa Miller,Freshman,Biology,BIO101,6/1/2023,Excused,80
S1223,Amanda Craig Obrien,Senior,Physics,PHYS101,3/12/2023,Excused,67
S0753,Amber Allison Stewart,Freshman,Biology,BIO101,10/6/2023,Excused,71
S0820,Michelle David Chapman,Sophomore,Chemistry,CHEM101,2/26/2023,Present,100
S1501,Veronica Ronald Gilbert,Sophomore,Physics,PHYS101,3/23/2023,Absent,71
S1127,Allen Alexis Short,Freshman,Chemistry,CHEM101,6/19/2023,Absent,77
S0452,John David Rivera,Sophomore,English,ENG101,8/28/2023,,94
S1168,Lisa Bryan George,Junior,Chemistry,CHEM101,3/31/2023,Late,76
S1906,Larry Anthony Martin,Freshman,English,ENG101,3/17/2023,Late,50
S1115,Rachel Stephen Price,Senior,Math,MATH101,8/10/2023,Present,93
S0899,Nicholas William Perry,Junior,Chemistry,CHEM101,7/5/2023,Absent,60
S0739,Mary Anna Khan,Senior,Chemistry,CHEM101,12/16/2023,Late,73
S1616,Mark Kristin Wheeler,Senior,Chemistry,CHEM101,8/15/2023,Late,85
S1202,Jeremy Nicole Gonzales,Freshman,Chemistry,CHEM101,3/25/2023,Excused,78
S1987,Mindy James Cain,Junior,Biology,BIO101,9/26/2023,Late,67
S1119,Kelly Donna Villegas,Junior,Biology,BIO101,3/9/2023,Present,70
S1292,Jason Teresa Goodman,Senior,Physics,PHYS101,8/19/2023,Absent,74
S0178,Jeremy Aaron Taylor,Senior,English,ENG101,3/17/2023,Absent,58
S0270,Alexander Stacy Jackson,Senior,Chemistry,CHEM101,11/28/2023,Absent,83
S1475,Megan Michelle Johnson,Senior,English,ENG101,8/4/2023,Excused,97
S0297,Brandon Justin Andrade,Junior,Biology,BIO101,4/21/2023,Late,96
S1699,Ashley Victoria Johnson,Freshman,Physics,PHYS101,1/2/2023,Absent,63
S1315,Martha Sherry Jenkins,Freshman,Physics,PHYS101,7/20/2023,Present,65
S0666,William Debbie Green,Freshman,Chemistry,CHEM101,7/16/2023,Present,56
S1438,Joan Sarah Nelson,Freshman,Physics,PHYS101,11/15/2023,Present,92
S1306,Jesse Brenda Vang,Junior,Math,MATH101,10/9/2023,Late,77
S0303,Matthew Jamie Nguyen,Senior,Physics,PHYS101,6/11/2023,Late,65
S1458,Brian Brandon Davis,Junior,Chemistry,CHEM101,6/11/2023,Absent,55
S0733,Carl Christopher Hernandez,Junior,Biology,BIO101,6/15/2023,Excused,91
S1766,Kathryn John Patel,Sophomore,Biology,BIO101,1/9/2023,Absent,80
S0306,Courtney Stacey Thomas,Sophomore,Math,MATH101,5/20/2023,Excused,94
S1817,Joseph Barbara Bright,Junior,English,ENG101,5/12/2023,Excused,76
S0295,Jacqueline Albert Harvey,Senior,Chemistry,CHEM101,8/24/2023,Present,72
S1996,Amanda Stephanie Price,Freshman,Physics,PHYS101,7/6/2023,Late,72
S0702,Veronica David Williamson,Senior,Chemistry,CHEM101,9/8/2023,Absent,63
S1185,Jonathan Melissa Sanford,Junior,English,ENG101,8/1/2023,Present,98
S0446,Brandy David Moran,Junior,Math,MATH101,10/8/2023,Present,61
S0272,Colleen Christopher Casey,Junior,Physics,PHYS101,11/11/2023,Late,72
S1511,Charles George Mora,Freshman,Chemistry,CHEM101,10/31/2023,Absent,93
S1653,Robert Carol Tucker,Freshman,Biology,BIO101,8/20/2023,Present,80
S0201,Nicholas Maria Guerrero,Junior,Biology,BIO101,10/11/2023,Present,61
S0784,Ricky Ryan Deleon,Senior,Math,MATH101,9/2/2023,Present,86
S1449,Carla Amy Thompson,Senior,Math,MATH101,6/1/2023,Absent,63
S0649,Gerald Daniel Hernandez,Freshman,Math,MATH101,12/16/2023,Absent,100
S1396,Sandra Melissa Johnson,Junior,Math,MATH101,5/29/2023,Absent,92
S0488,Julia Jonathon Lopez,Freshman,Chemistry,CHEM101,11/10/2023,Excused,51
S0257,Joseph Jennifer Jimenez,Freshman,Physics,PHYS101,10/5/2023,Absent,89
S0024,Hannah Christopher Beck,Sophomore,English,ENG101,6/16/2023,,98
S0430,Francis Joshua Payne,Junior,English,ENG101,5/25/2023,Absent,82
S1743,Michelle Sandra Castillo,Sophomore,Biology,BIO101,4/19/2023,Late,62
S0367,Lisa Joann Miller,Sophomore,English,ENG101,3/9/2023,Late,61
S0285,Angel Paula Villarreal,Sophomore,English,ENG101,1/30/2023,Absent,54
S0895,David Holly Frank,Sophomore,English,ENG101,10/8/2023,Excused,58
S1252,Jason Craig Hardy,Junior,Math,MATH101,8/8/2023,Excused,64
S1296,Lisa Austin Compton,Junior,Physics,PHYS101,3/20/2023,Present,63
S1757,Linda Kristen Williams,Freshman,Physics,PHYS101,5/19/2023,Excused,98
S0472,Katherine Monica Poole,Junior,English,ENG101,4/18/2023,Late,100
S0854,Jeffrey Steven Winters,Senior,Math,MATH101,5/10/2023,Present,97
S0680,Christopher Leslie Diaz,Senior,Chemistry,CHEM101,1/19/2023,Present,86
S1917,Monica Thomas Moses,Sophomore,English,ENG101,2/8/2023,Excused,89
S1287,Erin William Stevens,Sophomore,Chemistry,CHEM101,1/19/2023,Absent,66
S1976,Darryl Marcia Brown,Senior,Math,MATH101,4/11/2023,Excused,68
S0229,Harold Michael Harris,Sophomore,English,ENG101,11/30/2023,Late,73
S0281,Edward Joshua Whitaker,Junior,English,ENG101,10/4/2023,Excused,85
S0691,Nicole Kristin Barnett,Senior,Chemistry,CHEM101,9/13/2023,Absent,54
S0179,Daniel Deborah Pena,Senior,English,ENG101,3/6/2023,Late,67
S0018,Laura Alicia Chavez,Junior,Chemistry,CHEM101,10/17/2023,Present,87
S0577,Jesus Jason Henry,Sophomore,Math,MATH101,2/19/2023,Excused,69
S0079,Rodney Shaun Robertson,Senior,Biology,BIO101,4/18/2023,Present,91
S0379,Daniel Mitchell Tucker,Senior,English,ENG101,11/29/2023,Excused,81
S0056,Mary Patricia Ramirez,Freshman,Chemistry,CHEM101,10/10/2023,Excused,53
S1019,Amy Charlotte Huerta,Junior,Biology,BIO101,7/7/2023,Present,97
S1663,Amber Troy Hughes,Freshman,Math,MATH101,5/9/2023,Excused,68
S0129,Cindy Laura Lopez,Junior,English,ENG101,9/20/2023,Absent,65
S1099,Ronald Natasha Padilla,Freshman,Math,MATH101,1/19/2023,Late,97
S1576,Paul Vanessa Williams,Junior,Math,MATH101,2/9/2023,Excused,73
S1159,Derrick Tanner Cortez,Senior,Chemistry,CHEM101,2/21/2023,Late,53
S0850,Louis Melanie Mccarthy,Junior,English,ENG101,12/18/2023,,78
S0693,Eric Samantha Munoz,Sophomore,English,ENG101,8/29/2023,Excused,61
S1817,Joseph Barbara Bright,Junior,Chemistry,CHEM101,8/30/2023,Late,80
S0468,Connie Miranda Lin,Junior,Chemistry,CHEM101,8/29/2023,Absent,83
S1760,Bobby Danielle Johnson,Sophomore,Biology,BIO101,6/17/2023,Absent,66
S0816,Alexander Matthew Mcdonald,Junior,Biology,BIO101,5/12/2023,Absent,80
S0470,Austin Natalie Higgins,Sophomore,Math,MATH101,10/20/2023,Excused,59
S0874,Samantha Elizabeth Jackson,Sophomore,English,ENG101,10/31/2023,Present,86
S1219,Richard Colleen Daniels,Sophomore,Chemistry,CHEM101,10/19/2023,Late,57
S0259,Alexander Clarence Davis,Sophomore,Physics,PHYS101,8/4/2023,Absent,66
S1698,Juan Lori Carrillo,Freshman,English,ENG101,10/20/2023,Excused,93
S1525,Dillon Jeffrey Whitehead,Freshman,Physics,PHYS101,7/12/2023,Present,97
S0526,Penny Emily Sanford,Freshman,Chemistry,CHEM101,12/12/2023,Late,79
S1112,Amanda Yolanda Harrison,Senior,English,ENG101,12/16/2023,Present,99
S0652,Michele Edward Harrison,Freshman,Math,MATH101,6/27/2023,Late,99
S0770,John Hannah Brandt,Senior,Math,MATH101,7/18/2023,Excused,93
S1834,Karen Todd Molina,Senior,Chemistry,CHEM101,10/22/2023,Absent,87
S0794,Karen Amy Dennis,Senior,Physics,PHYS101,10/19/2023,Late,90
S0239,Charles George Rodriguez,Senior,Biology,BIO101,2/8/2023,Present,88
S1971,Katrina Michael Jordan,Freshman,Math,MATH101,7/3/2023,Present,84
S0577,Jesus Jason Henry,Sophomore,Biology,BIO101,7/19/2023,Late,78
S1489,Richard Isaiah Duffy,Junior,Physics,PHYS101,7/16/2023,Absent,66
S0472,Katherine Monica Poole,Junior,Biology,BIO101,4/3/2023,Late,55
S1276,Kara Austin Gutierrez,Junior,Math,MATH101,5/17/2023,Present,97
S0822,Ryan Lauren Hays,Freshman,Physics,PHYS101,8/21/2023,Present,70
S1369,Courtney Kathryn Clark,Sophomore,Physics,PHYS101,6/14/2023,Present,62
S1686,Joshua Amanda Smith,Sophomore,Chemistry,CHEM101,11/13/2023,Absent,62
S0539,Lori Amy Morales,Junior,Physics,PHYS101,4/30/2023,Excused,61
S0171,John Jose Kennedy,Freshman,Chemistry,CHEM101,8/7/2023,Late,82
S1184,Brittany Bryan Chandler,Freshman,English,ENG101,1/20/2023,Present,82
S0459,April Ashley Black,Sophomore,Biology,BIO101,12/12/2023,Excused,65
S1241,Deanna Brian Wilson,Freshman,Biology,BIO101,12/25/2023,Present,86
S0537,Laura Laura Alexander,Freshman,Physics,PHYS101,2/7/2023,Late,85
S1836,Jennifer James Cain,Sophomore,English,ENG101,9/9/2023,Excused,52
S0639,John Daniel Murphy,Freshman,Chemistry,CHEM101,5/15/2023,Present,54
S0970,Christopher Megan Lewis,Freshman,Chemistry,CHEM101,12/23/2023,Present,86
