ID,Name,Level,Subject,SubjID,Date,Attendance,Score,Performance_Grade
S0001,Kurt Dwayne Taylor,Junior,English,ENG101,2023-01-18,Excused,81.0,B
S0001,Kurt Dwayne Taylor,Junior,Biology,BIO101,2023-12-29,Excused,55.0,F
S0001,Kurt Dwayne Taylor,Junior,Physics,PHYS101,2023-07-13,Present,68.0,C
S0001,Kurt Dwayne Taylor,Junior,Chemistry,CHEM101,2023-11-14,Late,72.0,C
S0002,Teresa Melissa Brewer,Senior,Chemistry,CHEM101,2023-10-09,Present,74.95579658242096,C
S0002,Teresa Melissa Brewer,Senior,Biology,BIO101,2023-05-31,Absent,0.0,F
S0002,Teresa Melissa Brewer,Senior,English,ENG101,2023-05-23,Excused,68.0,C
S0003,Corey Madison Chase,Senior,Chemistry,CHEM101,2023-11-24,Present,68.0,C
S0003,Corey Madison Chase,Senior,English,ENG101,2023-09-12,Absent,0.0,F
S0003,Corey Madison Chase,Senior,Physics,PHYS101,2023-12-18,Late,50.0,F
S0004,Amanda Donald Phillips,Sophomore,Chemistry,CHEM101,2023-06-24,Absent,0.0,F
S0004,Amanda Donald Phillips,Sophomore,Physics,PHYS101,2023-10-20,Absent,0.0,F
S0004,Amanda Donald Phillips,Sophomore,Biology,BIO101,2023-03-28,Late,82.0,B
S0005,Nathan Justin Schultz,Freshman,Biology,BIO101,2023-08-10,Excused,84.0,B
S0005,Nathan Justin Schultz,Freshman,Math,MATH101,2023-06-25,Absent,0.0,F
S0005,Nathan Justin Schultz,Freshman,Physics,PHYS101,2023-03-11,Late,55.0,F
S0006,Jonathon Bradley Freeman,Senior,Math,MATH101,2023-03-15,Absent,0.0,F
S0006,Jonathon Bradley Freeman,Senior,Chemistry,CHEM101,2023-12-09,Late,90.0,A
S0007,Kristin Paul Liu,Junior,Physics,PHYS101,2023-06-19,Excused,96.0,A
S0007,Kristin Paul Liu,Junior,Biology,BIO101,2023-07-02,Absent,0.0,F
S0007,Kristin Paul Liu,Junior,Chemistry,CHEM101,2023-01-29,Absent,0.0,F
S0008,Danielle Mary Stewart,Freshman,English,ENG101,2023-10-08,Present,75.0,C
S0008,Danielle Mary Stewart,Freshman,Physics,PHYS101,2023-04-30,Absent,0.0,F
S0008,Danielle Mary Stewart,Freshman,Biology,BIO101,2023-09-26,Present,68.0,C
S0008,Danielle Mary Stewart,Freshman,Chemistry,CHEM101,2023-01-01,Absent,0.0,F
S0009,Paul Jermaine Velez,Freshman,Biology,BIO101,2023-07-04,Excused,75.0,C
S0009,Paul Jermaine Velez,Freshman,Physics,PHYS101,2023-02-05,Excused,99.0,A
S0009,Paul Jermaine Velez,Freshman,Chemistry,CHEM101,2023-10-04,Absent,0.0,F
S0009,Paul Jermaine Velez,Freshman,Math,MATH101,2023-05-03,Present,56.0,F
S0010,Mark Tony Burton,Junior,Chemistry,CHEM101,2023-03-19,Excused,97.0,A
S0010,Mark Tony Burton,Junior,Math,MATH101,2023-10-21,Absent,0.0,F
S0010,Mark Tony Burton,Junior,Biology,BIO101,2023-10-20,Present,65.0,D
S0010,Mark Tony Burton,Junior,English,ENG101,2023-02-25,Late,87.0,B
S0011,Sharon Christian Hubbard,Freshman,Physics,PHYS101,2023-07-08,Absent,0.0,F
S0011,Sharon Christian Hubbard,Freshman,Chemistry,CHEM101,2023-10-17,Present,55.0,F
S0011,Sharon Christian Hubbard,Freshman,Math,MATH101,2023-08-21,Present,64.0,D
S0012,Robert Colin Melton,Sophomore,Math,MATH101,2023-06-27,Excused,54.0,F
S0012,Robert Colin Melton,Sophomore,English,ENG101,2023-08-21,Excused,90.0,A
S0013,Mary Thomas Finley,Senior,Biology,BIO101,2023-06-16,Late,87.0,B
S0013,Mary Thomas Finley,Senior,Math,MATH101,2023-07-15,Present,67.0,C
S0013,Mary Thomas Finley,Senior,Chemistry,CHEM101,2023-05-04,Absent,0.0,F
S0013,Mary Thomas Finley,Senior,Physics,PHYS101,2023-12-07,Absent,0.0,F
S0013,Mary Thomas Finley,Senior,English,ENG101,2023-04-11,Late,79.0,B
S0014,James Michael Johnson,Senior,Biology,BIO101,2023-09-09,Absent,0.0,F
S0014,James Michael Johnson,Senior,Math,MATH101,2023-12-21,Late,63.0,D
S0014,James Michael Johnson,Senior,Physics,PHYS101,2023-10-07,Excused,83.0,B
S0014,James Michael Johnson,Senior,Chemistry,CHEM101,2023-03-05,Excused,74.95579658242096,C
S0015,John Barbara Larsen,Junior,Biology,BIO101,2023-10-21,Present,52.0,F
S0015,John Barbara Larsen,Junior,Physics,PHYS101,2023-06-03,Absent,0.0,F
S0015,John Barbara Larsen,Junior,English,ENG101,2023-12-22,Absent,0.0,F
S0015,John Barbara Larsen,Junior,Chemistry,CHEM101,2023-08-19,Late,70.0,C
S0016,Zachary Amanda Thompson,Junior,Physics,PHYS101,2023-02-16,Excused,50.0,F
S0016,Zachary Amanda Thompson,Junior,Math,MATH101,2023-10-03,Late,85.0,B
S0016,Zachary Amanda Thompson,Junior,Biology,BIO101,2023-08-21,Late,76.0,B
S0016,Zachary Amanda Thompson,Junior,Chemistry,CHEM101,2023-04-03,Late,75.0,C
S0016,Zachary Amanda Thompson,Junior,English,ENG101,2023-07-17,Absent,0.0,F
S0017,Henry Kimberly Smith,Junior,English,ENG101,2023-02-14,Present,72.0,C
S0017,Henry Kimberly Smith,Junior,Biology,BIO101,2023-08-31,Excused,55.0,F
S0018,Laura Alicia Chavez,Junior,Chemistry,CHEM101,2023-10-17,Present,87.0,B
S0018,Laura Alicia Chavez,Junior,English,ENG101,2023-04-17,Absent,0.0,F
S0018,Laura Alicia Chavez,Junior,Math,MATH101,2023-06-27,Absent,0.0,F
S0018,Laura Alicia Chavez,Junior,Biology,BIO101,2023-06-10,Absent,0.0,F
S0019,John Hannah Lopez,Freshman,Math,MATH101,2023-02-23,Excused,65.0,D
S0019,John Hannah Lopez,Freshman,Physics,PHYS101,2023-02-05,Present,82.0,B
S0019,John Hannah Lopez,Freshman,Chemistry,CHEM101,2023-07-24,Late,56.0,F
S0020,April Dalton Davis,Freshman,Biology,BIO101,2023-11-08,Excused,63.0,D
S0020,April Dalton Davis,Freshman,Math,MATH101,2023-11-15,Excused,69.0,C
S0020,April Dalton Davis,Freshman,English,ENG101,2023-01-24,Present,53.0,F
